Datetime,HOURLYDRYBULBTEMPF,HOURLYWETBULBTEMPF,Hour,Minute,Day,Weekend,Holiday,Steam Gen,Next Days Max,Next Days Max-Hour
4/1/2017 1:00,39,38,1,60,7,TRUE,FALSE,50396.12,66665.28,7
4/1/2017 2:00,38,38,2,120,7,TRUE,FALSE,51356.87,66665.28,7
4/1/2017 3:00,37,37,3,180,7,TRUE,FALSE,35409.41,66665.28,7
4/1/2017 4:00,37,37,4,240,7,TRUE,FALSE,33163.98,66665.28,7
4/1/2017 5:00,37,37,5,300,7,TRUE,FALSE,30918.56,66665.28,7
4/1/2017 6:00,36,36,6,360,7,TRUE,FALSE,28673.13,66665.28,7
4/1/2017 7:00,36,36,7,420,7,TRUE,FALSE,26427.71,66665.28,7
4/1/2017 8:00,36,36,8,480,7,TRUE,FALSE,24182.28,66665.28,7
4/1/2017 9:00,36,36,9,540,7,TRUE,FALSE,21936.86,66665.28,7
4/1/2017 10:00,36,36,10,600,7,TRUE,FALSE,19691.43,66665.28,7
4/1/2017 11:00,37,37,11,660,7,TRUE,FALSE,45272.28,66665.28,7
4/1/2017 12:00,38,37,12,720,7,TRUE,FALSE,47534.87,66665.28,7
4/1/2017 13:00,38,37,13,780,7,TRUE,FALSE,76824.34,66665.28,7
4/1/2017 14:00,39,37,14,840,7,TRUE,FALSE,102111.52,66665.28,7
4/1/2017 15:00,40,38,15,900,7,TRUE,FALSE,99453.14,66665.28,7
4/1/2017 16:00,41,38,16,960,7,TRUE,FALSE,82896.7,66665.28,7
4/1/2017 17:00,41,38,17,1020,7,TRUE,FALSE,68359.95,66665.28,7
4/1/2017 18:00,42,39,18,1080,7,TRUE,FALSE,64111.91,66665.28,7
4/1/2017 19:00,41,38,19,1140,7,TRUE,FALSE,58332.21,66665.28,7
4/1/2017 20:00,36,35,20,1200,7,TRUE,FALSE,56385.78,66665.28,7
4/1/2017 21:00,34,33,21,1260,7,TRUE,FALSE,60025.74,66665.28,7
4/1/2017 22:00,36,35,22,1320,7,TRUE,FALSE,59315.34,66665.28,7
4/1/2017 23:00,35,34,23,1380,7,TRUE,FALSE,62420.4,66665.28,7
4/2/2017 0:00,35,34,0,0,1,TRUE,FALSE,58359.72,64342.04,8
4/2/2017 1:00,33,32,1,60,1,TRUE,FALSE,59154.53,64342.04,8
4/2/2017 2:00,31,31,2,120,1,TRUE,FALSE,59080.82,64342.04,8
4/2/2017 3:00,30,30,3,180,1,TRUE,FALSE,61782.1,64342.04,8
4/2/2017 4:00,30,30,4,240,1,TRUE,FALSE,60128.35,64342.04,8
4/2/2017 5:00,32,31,5,300,1,TRUE,FALSE,64286.08,64342.04,8
4/2/2017 6:00,34,33,6,360,1,TRUE,FALSE,62834.88,64342.04,8
4/2/2017 7:00,34,33,7,420,1,TRUE,FALSE,66665.28,64342.04,8
4/2/2017 8:00,41,37,8,480,1,TRUE,FALSE,66310.76,64342.04,8
4/2/2017 9:00,47,41,9,540,1,TRUE,FALSE,61392.21,64342.04,8
4/2/2017 10:00,51,45,10,600,1,TRUE,FALSE,53181.51,64342.04,8
4/2/2017 11:00,53,46,11,660,1,TRUE,FALSE,48135.95,64342.04,8
4/2/2017 12:00,55,47,12,720,1,TRUE,FALSE,44279.33,64342.04,8
4/2/2017 13:00,57,47,13,780,1,TRUE,FALSE,41451.02,64342.04,8
4/2/2017 14:00,59,48,14,840,1,TRUE,FALSE,40057.23,64342.04,8
4/2/2017 15:00,58,47,15,900,1,TRUE,FALSE,37684.31,64342.04,8
4/2/2017 16:00,57,48,16,960,1,TRUE,FALSE,37380.52,64342.04,8
4/2/2017 17:00,57,47,17,1020,1,TRUE,FALSE,37388.13,64342.04,8
4/2/2017 18:00,55,46,18,1080,1,TRUE,FALSE,37501,64342.04,8
4/2/2017 19:00,52,43,19,1140,1,TRUE,FALSE,36556.16,64342.04,8
4/2/2017 20:00,50,42,20,1200,1,TRUE,FALSE,41770.6,64342.04,8
4/2/2017 21:00,48,41,21,1260,1,TRUE,FALSE,40200.77,64342.04,8
4/2/2017 22:00,48,40,22,1320,1,TRUE,FALSE,41833.55,64342.04,8
4/2/2017 23:00,45,39,23,1380,1,TRUE,FALSE,40689.16,64342.04,8
4/3/2017 0:00,45,38,0,0,2,FALSE,FALSE,42592.78,53757.31,8
4/3/2017 1:00,39,37,1,60,2,FALSE,FALSE,40496.26,53757.31,8
4/3/2017 2:00,40,37,2,120,2,FALSE,FALSE,41309.88,53757.31,8
4/3/2017 3:00,39,37,3,180,2,FALSE,FALSE,44277.29,53757.31,8
4/3/2017 4:00,38,36,4,240,2,FALSE,FALSE,42780.61,53757.31,8
4/3/2017 5:00,41,38,5,300,2,FALSE,FALSE,47426.34,53757.31,8
4/3/2017 6:00,43,39,6,360,2,FALSE,FALSE,50894.7,53757.31,8
4/3/2017 7:00,43,40,7,420,2,FALSE,FALSE,64087.77,53757.31,8
4/3/2017 8:00,45,40,8,480,2,FALSE,FALSE,64342.04,53757.31,8
4/3/2017 9:00,50,43,9,540,2,FALSE,FALSE,60370.22,53757.31,8
4/3/2017 10:00,55,45,10,600,2,FALSE,FALSE,55314.35,53757.31,8
4/3/2017 11:00,59,48,11,660,2,FALSE,FALSE,49587.73,53757.31,8
4/3/2017 12:00,59,47,12,720,2,FALSE,FALSE,44462.87,53757.31,8
4/3/2017 13:00,60,49,13,780,2,FALSE,FALSE,41578.7,53757.31,8
4/3/2017 14:00,61,49,14,840,2,FALSE,FALSE,39859.12,53757.31,8
4/3/2017 15:00,64,50,15,900,2,FALSE,FALSE,38780.78,53757.31,8
4/3/2017 16:00,64,50,16,960,2,FALSE,FALSE,35098.41,53757.31,8
4/3/2017 17:00,63,50,17,1020,2,FALSE,FALSE,34465.86,53757.31,8
4/3/2017 18:00,62,50,18,1080,2,FALSE,FALSE,35019.3,53757.31,8
4/3/2017 19:00,61,50,19,1140,2,FALSE,FALSE,36217.42,53757.31,8
4/3/2017 20:00,58,49,20,1200,2,FALSE,FALSE,36667.32,53757.31,8
4/3/2017 21:00,59,51,21,1260,2,FALSE,FALSE,34920.99,53757.31,8
4/3/2017 22:00,55,51,22,1320,2,FALSE,FALSE,33607.47,53757.31,8
4/3/2017 23:00,54,52,23,1380,2,FALSE,FALSE,33050.19,53757.31,8
4/4/2017 0:00,53,51,0,0,3,FALSE,FALSE,39667.45,67357.02,7
4/4/2017 1:00,52,50,1,60,3,FALSE,FALSE,35632.65,67357.02,7
4/4/2017 2:00,52,50,2,120,3,FALSE,FALSE,35712.18,67357.02,7
4/4/2017 3:00,51,49,3,180,3,FALSE,FALSE,37848.32,67357.02,7
4/4/2017 4:00,51,49,4,240,3,FALSE,FALSE,37644.09,67357.02,7
4/4/2017 5:00,53,50,5,300,3,FALSE,FALSE,39413.12,67357.02,7
4/4/2017 6:00,53,50,6,360,3,FALSE,FALSE,40793.14,67357.02,7
4/4/2017 7:00,54,51,7,420,3,FALSE,FALSE,52746.42,67357.02,7
4/4/2017 8:00,56,53,8,480,3,FALSE,FALSE,53757.31,67357.02,7
