Datetime,HOURLYDRYBULBTEMPF,HOURLYWETBULBTEMPF,HR,MIN,DY,Weekend,Holiday,Steamgen,Nextdaysmax,Nextdaysmaxhr
2017-04-01 01:00:00,39.0,38.0,1,60,7,True,False,50396.12,66665.28,7.0
2017-04-01 02:00:00,38.0,38.0,2,120,7,True,False,51356.87,66665.28,7.0
2017-04-01 03:00:00,37.0,37.0,3,180,7,True,False,35409.41,66665.28,7.0
2017-04-01 04:00:00,37.0,37.0,4,240,7,True,False,33163.98,66665.28,7.0
2017-04-01 05:00:00,37.0,37.0,5,300,7,True,False,30918.56,66665.28,7.0
2017-04-01 06:00:00,36.0,36.0,6,360,7,True,False,28673.13,66665.28,7.0
2017-04-01 07:00:00,36.0,36.0,7,420,7,True,False,26427.71,66665.28,7.0
2017-04-01 08:00:00,36.0,36.0,8,480,7,True,False,24182.28,66665.28,7.0
2017-04-01 09:00:00,36.0,36.0,9,540,7,True,False,21936.86,66665.28,7.0
2017-04-01 10:00:00,36.0,36.0,10,600,7,True,False,19691.43,66665.28,7.0
2017-04-01 11:00:00,37.0,37.0,11,660,7,True,False,45272.28,66665.28,7.0
2017-04-01 12:00:00,38.0,37.0,12,720,7,True,False,47534.87,66665.28,7.0
2017-04-01 13:00:00,38.0,37.0,13,780,7,True,False,76824.34,66665.28,7.0
2017-04-01 14:00:00,39.0,37.0,14,840,7,True,False,102111.52,66665.28,7.0
2017-04-01 15:00:00,40.0,38.0,15,900,7,True,False,99453.14,66665.28,7.0
2017-04-01 16:00:00,41.0,38.0,16,960,7,True,False,82896.7,66665.28,7.0
2017-04-01 17:00:00,41.0,38.0,17,1020,7,True,False,68359.95,66665.28,7.0
2017-04-01 18:00:00,42.0,39.0,18,1080,7,True,False,64111.91,66665.28,7.0
2017-04-01 19:00:00,41.0,38.0,19,1140,7,True,False,58332.21,66665.28,7.0
2017-04-01 20:00:00,36.0,35.0,20,1200,7,True,False,56385.78,66665.28,7.0
2017-04-01 21:00:00,34.0,33.0,21,1260,7,True,False,60025.74,66665.28,7.0
2017-04-01 22:00:00,36.0,35.0,22,1320,7,True,False,59315.34,66665.28,7.0
2017-04-01 23:00:00,35.0,34.0,23,1380,7,True,False,62420.4,66665.28,7.0
2017-04-02 00:00:00,35.0,34.0,0,0,1,True,False,58359.72,64342.04,8.0
2017-04-02 01:00:00,33.0,32.0,1,60,1,True,False,59154.53,64342.04,8.0
2017-04-02 02:00:00,31.0,31.0,2,120,1,True,False,59080.82,64342.04,8.0
2017-04-02 03:00:00,30.0,30.0,3,180,1,True,False,61782.1,64342.04,8.0
2017-04-02 04:00:00,30.0,30.0,4,240,1,True,False,60128.35,64342.04,8.0
2017-04-02 05:00:00,32.0,31.0,5,300,1,True,False,64286.08,64342.04,8.0
2017-04-02 06:00:00,34.0,33.0,6,360,1,True,False,62834.88,64342.04,8.0
2017-04-02 07:00:00,34.0,33.0,7,420,1,True,False,66665.28,64342.04,8.0
2017-04-02 08:00:00,41.0,37.0,8,480,1,True,False,66310.76,64342.04,8.0
2017-04-02 09:00:00,47.0,41.0,9,540,1,True,False,61392.21,64342.04,8.0
2017-04-02 10:00:00,51.0,45.0,10,600,1,True,False,53181.51,64342.04,8.0
2017-04-02 11:00:00,53.0,46.0,11,660,1,True,False,48135.95,64342.04,8.0
2017-04-02 12:00:00,55.0,47.0,12,720,1,True,False,44279.33,64342.04,8.0
2017-04-02 13:00:00,57.0,47.0,13,780,1,True,False,41451.02,64342.04,8.0
2017-04-02 14:00:00,59.0,48.0,14,840,1,True,False,40057.23,64342.04,8.0
2017-04-02 15:00:00,58.0,47.0,15,900,1,True,False,37684.31,64342.04,8.0
2017-04-02 16:00:00,57.0,48.0,16,960,1,True,False,37380.52,64342.04,8.0
2017-04-02 17:00:00,57.0,47.0,17,1020,1,True,False,37388.13,64342.04,8.0
2017-04-02 18:00:00,55.0,46.0,18,1080,1,True,False,37501.0,64342.04,8.0
2017-04-02 19:00:00,52.0,43.0,19,1140,1,True,False,36556.16,64342.04,8.0
2017-04-02 20:00:00,50.0,42.0,20,1200,1,True,False,41770.6,64342.04,8.0
2017-04-02 21:00:00,48.0,41.0,21,1260,1,True,False,40200.77,64342.04,8.0
2017-04-02 22:00:00,48.0,40.0,22,1320,1,True,False,41833.55,64342.04,8.0
2017-04-02 23:00:00,45.0,39.0,23,1380,1,True,False,40689.16,64342.04,8.0
2017-04-03 00:00:00,45.0,38.0,0,0,2,False,False,42592.78,53757.31,8.0
2017-04-03 01:00:00,39.0,37.0,1,60,2,False,False,40496.26,53757.31,8.0
2017-04-03 02:00:00,40.0,37.0,2,120,2,False,False,41309.88,53757.31,8.0
